id,retweet_count,favorite_count,followers_count
828376505180889089,1216,8112,3200892
828372645993398273,3344,13756,3200892
828361771580813312,195,2408,3200892
828046555563323392,3260,12923,3200892
828011680017821696,2451,11411,3200892
827933404142436356,5987,22180,3200892
827653905312006145,3433,16983,3200892
827600520311402496,1082,8143,3200892
827324948884643840,3510,17523,3200892
827228250799742977,13517,0,3200892
827199976799354881,2579,11659,3200892
826958653328592898,5757,23767,3200892
826848821049180160,11878,40325,3200892
826615380357632002,4521,0,3200892
826598799820865537,292,5637,3200892
826598365270007810,2709,11117,3200892
826476773533745153,4821,20275,3200892
826240494070030336,2965,14614,3200892
826204788643753985,1075,5361,3200892
826115272272650244,3599,17299,3200892
825876512159186944,2146,11525,3200893
825829644528148480,2848,14025,3200893
825535076884762624,19669,56413,3200894
825147591692263424,5244,20181,3200894
825120256414846976,1483,0,3200894
825026590719483904,1483,7020,3200894
824796380199809024,6288,0,3200894
824775126675836928,4069,16508,3200894
824663926340194305,1993,11113,3200894
824325613288833024,11848,12999,3200894
824297048279236611,4463,16625,3200894
824025158776213504,679,5255,3200894
823939628516474880,3123,11755,3200894
823719002937630720,12953,0,3200894
823699002998870016,2772,13826,3200894
823581115634085888,3031,14376,3200894
823333489516937216,31,777,3200894
823322678127919110,4637,17437,3200894
823269594223824897,11421,0,3200894
822975315408461824,3958,19139,3200894
822872901745569793,48265,132810,3200894
822859134160621569,2622,14576,3200894
822647212903690241,7390,0,3200894
822610361945911296,3423,16327,3200894
822489057087389700,7390,20083,3200894
822462944365645825,17209,31800,3200894
822244816520155136,11421,38832,3200894
822163064745328640,5571,0,3200894
821886076407029760,2692,12582,3200894
821813639212650496,3839,0,3200894
821765923262631936,1899,9317,3200894
821522889702862852,2030,8871,3200894
821421320206483457,6470,0,3200894
821407182352777218,5053,13075,3200894
821153421864615936,10,280,3200894
821149554670182400,2320,9718,3200894
821107785811234820,2487,10645,3200894
821044531881721856,2636,14021,3200894
820837357901512704,7733,0,3200894
820749716845686786,11525,34984,3200894
820690176645140481,3716,13518,3200894
820494788566847489,648,0,3200802
820446719150292993,2980,0,3200894
820314633777061888,648,3706,3200894
820078625395449857,7246,21979,3200894
820013781606658049,1369,0,3200894
819952236453363712,1369,5927,3200894
819924195358416896,5607,14305,3200894
819711362133872643,3604,14916,3200894
819588359383371776,2271,10606,3200894
819347104292290561,1383,8008,3200894
819238181065359361,462,2550,3200894
819227688460238848,7733,25652,3200894
819015337530290176,42228,0,3200894
819015331746349057,21794,0,3200894
819006400881917954,21794,49960,3200894
819004803107983360,42228,95450,3200894
818646164899774465,24069,0,3200894
818627210458333184,8564,24597,3200894
818614493328580609,2982,10971,3200894
818588835076603904,7126,0,3200894
818536468981415936,2873,12127,3200894
818307523543449600,9366,0,3200894
818259473185828864,2621,12197,3200894
818145370475810820,3014,13671,3200894
817908911860748288,906,5356,3200894
817827839487737858,31314,57622,3200894
817777686764523521,3084,11901,3200894
817536400337801217,3505,13105,3200894
817502432452313088,3917,0,3200894
817423860136083457,17504,38260,3200894
817415592588222464,1131,6267,3200894
817181837579653120,9907,0,3200895
817171292965273600,2326,9690,3200895
817120970343411712,3011,13367,3200895
817056546584727552,1927,9517,3200895
816829038950027264,5496,0,3200895
816816676327063552,2361,11071,3200895
816697700272001025,2545,10905,3200895
816450570814898180,9366,33961,3200895
816336735214911488,2269,9564,3200895
816091915477250048,2500,9927,3200895
816062466425819140,1207,0,3200895
816014286006976512,6154,0,3200895
815990720817401858,1207,5545,3200895
815966073409433600,9907,25057,3200895
815745968457060357,4797,0,3200895
815736392542261248,2625,10937,3200895
815639385530101762,1918,9161,3200895
815390420867969024,4407,11467,3200895
814986499976527872,1505,8485,3200895
814638523311648768,3130,12511,3200895
814578408554463233,6750,0,3200895
814530161257443328,2156,9629,3200895
814153002265309185,10080,32000,3200895
813944609378369540,3732,0,3200895
813910438903693312,2194,10342,3200895
813812741911748608,16267,40402,3200895
813800681631023104,2060,9300,3200895
813217897535406080,8476,20783,3200895
813202720496779264,2090,10192,3200895
813187593374461952,5096,22085,3200895
813172488309972993,2236,10384,3200895
813157409116065792,2557,8588,3200895
813142292504645637,2728,9361,3200895
813130366689148928,513,4968,3200895
813127251579564032,3652,13242,3200895
813112105746448384,3225,11515,3200895
813096984823349248,4207,11694,3200895
813081950185472002,3220,10989,3200895
813066809284972545,2276,8865,3200895
813051746834595840,8503,23337,3200895
812781120811126785,2191,8380,3200895
812747805718642688,8067,0,3200895
812709060537683968,1665,7373,3200895
812503143955202048,1424,6787,3200895
812466873996607488,2231,8900,3200895
812372279581671427,4252,15224,3200895
811985624773361665,1647,8102,3200895
811744202451197953,1884,8429,3200895
811647686436880384,872,6215,3200895
811627233043480576,3650,14265,3200895
811386762094317568,7444,23302,3200895
810984652412424192,1655,5927,3200896
810896069567610880,2090,10093,3200896
810657578271330305,3057,12192,3200896
810284430598270976,13369,39640,3200896
810254108431155201,3901,16380,3200896
809920764300447744,4521,17250,3200896
809808892968534016,5711,0,3200896
809448704142938112,1696,7727,3200896
809220051211603969,6554,22246,3200896
809084759137812480,4046,14685,3200896
808838249661788160,3536,11271,3200896
808733504066486276,2509,8784,3200896
808501579447930884,3007,12595,3200896
808344865868283904,24069,47281,3200896
808134635716833280,6961,0,3200896
808106460588765185,2525,9701,3200896
808001312164028416,4098,14015,3200896
807621403335917568,4288,16236,3200896
807106840509214720,56625,107015,3200896
807059379405148160,8521,0,3200897
807010152071229440,4418,14514,3200897
806629075125202948,37911,75639,3200897
806620845233815552,6426,0,3200897
806576416489959424,2230,5370,3200897
806542213899489280,2752,11363,3200897
806242860592926720,13616,0,3200897
806219024703037440,1388,7145,3200897
805958939288408065,6238,0,3200897
805932879469572096,2209,9178,3200897
805826884734976000,2132,7335,3200897
805823200554876929,9374,0,3200897
805520635690676224,1905,6368,3200897
805487436403003392,2929,9773,3200897
805207613751304193,1972,8680,3200897
804738756058218496,4480,15326,3200897
804475857670639616,2355,6886,3200897
804413760345620481,3712,0,3200897
804026241225523202,18876,49774,3200897
803773340896923648,3220,11203,3200897
803692223237865472,8689,0,3200897
803638050916102144,4828,12270,3200897
